"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"265","Fish",81,5.01187233627271e-05,NA,NA,NA,"Fish"
"266","Fish",82,6.30957344480192e-05,NA,NA,NA,"Fish"
"267","Fish",83,7.94328234724282e-05,NA,NA,NA,"Fish"
"268","Fish",84,1e-04,NA,NA,NA,"Fish"
"269","Fish",85,0.000125892541179417,NA,NA,NA,"Fish"
"270","Fish",86,0.000158489319246111,NA,NA,NA,"Fish"
"271","Fish",87,0.000199526231496887,NA,NA,NA,"Fish"
"272","Fish",88,0.000251188643150958,NA,NA,NA,"Fish"
"273","Fish",89,0.000316227766016838,NA,NA,NA,"Fish"
"274","Fish",90,0.000398107170553497,NA,NA,NA,"Fish"
"275","Fish",91,0.000501187233627271,NA,NA,NA,"Fish"
"276","Fish",92,0.000630957344480192,NA,NA,NA,"Fish"
"277","Fish",93,0.000794328234724282,NA,NA,NA,"Fish"
"278","Fish",94,0.001,3.59499518717742,3.60017607479121,3.59224672737628,"Fish"
"279","Fish",95,0.00125892541179417,3.60026619811659,3.60507496097472,3.59734261130759,"Fish"
"280","Fish",96,0.00158489319246111,3.60599086937782,3.61123766770585,3.60330177370559,"Fish"
"281","Fish",97,0.00199526231496888,3.61267782809762,3.61814431161608,3.60990466311834,"Fish"
"282","Fish",98,0.00251188643150958,3.62042031571228,3.62587986443759,3.61713937648139,"Fish"
"283","Fish",99,0.00316227766016838,3.62876939266123,3.63443011880434,3.62507397700475,"Fish"
"284","Fish",100,0.00398107170553497,3.6379497263931,3.64410740590286,3.63362028325836,"Fish"
"285","Fish",101,0.00501187233627272,3.64774193301754,3.65475385868386,3.64266553128717,"Fish"
"286","Fish",102,0.00630957344480194,3.65813979333299,3.66596295975907,3.65213313837716,"Fish"
"287","Fish",103,0.00794328234724282,3.66942563320005,3.67769338357127,3.66199257442598,"Fish"
"288","Fish",104,0.01,3.68096650669408,3.68991811051034,3.67226902248309,"Fish"
"289","Fish",105,0.0125892541179417,3.69303164165028,3.70263928392496,3.68305632443851,"Fish"
"290","Fish",106,0.0158489319246111,3.70567912598041,3.71590238670348,3.69452737721771,"Fish"
"291","Fish",107,0.0199526231496888,3.71834250332503,3.72980921882777,3.70692485189885,"Fish"
"292","Fish",108,0.0251188643150958,3.73156529561534,3.74453075859113,3.72052435347906,"Fish"
"293","Fish",109,0.0316227766016838,3.74593425825686,3.76032201796251,3.73559412672279,"Fish"
"294","Fish",110,0.0398107170553497,3.76195537839233,3.77754291371375,3.75239633608129,"Fish"
